site,week_start,log10_conc,z_before_ingest,ewma_before,n_obs_before
Bathgate,2021-03-22,3.892,-0.557,4.246,12
Biggar,2021-03-22,2.969,-0.252,3.221,10
Blackburn,2021-03-22,4.425,0.588,4.182,12
Blackridge,2021-03-22,3.878,0.047,3.841,13
Blackwood,2021-03-22,3.947,0.109,3.850,10
Blairgowrie,2021-03-22,4.915,,4.170,4
Boness,2021-03-22,3.912,,4.034,5
Bonnybridge,2021-03-22,4.511,,4.413,5
Bothwellbank,2021-03-22,3.927,-0.768,4.227,11
Bowhouse,2021-03-22,2.782,-0.728,3.242,8
Carbarns,2021-03-22,4.514,-0.165,4.613,30
Coldstream,2021-03-22,2.761,,3.848,6
Cumnock,2021-03-22,4.477,,4.369,5
Cupar,2021-03-22,3.054,-1.570,3.980,8
Dalbeattie,2021-03-22,4.660,2.368,3.428,16
Daldowie,2021-03-22,4.484,-0.155,4.548,10
Dalmarnock,2021-03-22,4.431,,4.613,6
Dalmuir,2021-03-22,4.389,-0.117,4.455,32
Dalscone,2021-03-22,3.953,1.071,3.390,17
Denny,2021-03-22,4.787,,4.512,5
Dunbar,2021-03-22,3.220,,4.075,5
Dunfermline,2021-03-22,4.196,-0.144,4.307,32
Dunnswood,2021-03-22,3.867,-1.370,4.547,8
East Calder,2021-03-22,4.723,-0.201,4.781,13
Eyemouth,2021-03-22,3.433,,,0
Falkirk,2021-03-22,4.479,0.201,4.338,25
Fauldhouse,2021-03-22,3.651,-1.627,4.410,13
Forfar,2021-03-22,4.047,,3.951,1
Fort William,2021-03-22,3.208,0.990,3.087,21
Fraserburgh,2021-03-22,4.088,-2.714,4.626,8
Galashiels,2021-03-22,3.576,0.806,3.100,21
Guardbridge,2021-03-22,2.887,,3.084,6
Hamilton,2021-03-22,4.596,0.310,4.415,27
Harthill,2021-03-22,4.150,0.293,3.920,10
Hatton,2021-03-22,4.249,0.222,4.134,29
Hawick,2021-03-22,3.018,-0.173,3.150,28
Helensburgh,2021-03-22,4.460,0.060,4.425,23
Inverclyde,2021-03-22,3.704,-0.613,4.002,14
Ironmill Bay,2021-03-22,3.973,-0.290,4.099,7
Kelso,2021-03-22,2.510,,,0
Kincardine,2021-03-22,3.644,-2.077,4.750,8
Kirkcaldy,2021-03-22,4.522,0.262,4.441,8
Lanark,2021-03-22,3.756,-2.643,4.608,10
Levenmouth,2021-03-22,4.335,0.296,4.143,32
Linlithgow,2021-03-22,3.621,0.047,3.596,13
Lossiemouth,2021-03-22,3.832,,3.646,6
Mauldslie,2021-03-22,4.304,0.260,4.192,11
Meadowhead,2021-03-22,4.395,0.126,4.322,26
Muirkirk,2021-03-22,3.939,,3.478,6
Nairn,2021-03-22,3.071,-0.554,3.459,19
Neilston,2021-03-22,3.348,,3.740,5
New Cumnock,2021-03-22,3.624,-0.641,4.031,10
Newburgh,2021-03-22,3.179,-0.640,3.501,7
Newport & Tayport,2021-03-22,3.796,0.504,3.566,8
Nigg,2021-03-22,4.169,0.135,4.088,33
Paisley,2021-03-22,4.561,,4.554,5
Penicuik,2021-03-22,4.151,,4.353,5
Persley - Northfield,2021-03-22,3.813,,4.618,1
Perth,2021-03-22,3.929,,4.152,5
Peterhead,2021-03-22,2.998,-0.297,3.193,8
Philipshill,2021-03-22,4.313,0.035,4.291,31
Seafield,2021-03-22,4.375,-0.019,4.386,26
Shieldhall,2021-03-22,4.487,-0.129,4.579,40
Shotts,2021-03-22,4.682,0.393,4.547,10
Springfield,2021-03-22,3.917,0.767,3.520,8
St Andrews,2021-03-22,4.316,,3.943,6
Stevenston,2021-03-22,4.128,,3.968,6
Stirling,2021-03-22,4.244,0.497,3.938,22
Stonehouse,2021-03-22,3.085,-1.435,3.855,10
Strathaven,2021-03-22,4.211,0.640,3.868,11
Swinstie,2021-03-22,5.121,2.366,4.377,9
Tillicoultry,2021-03-22,3.683,,4.001,5
Troqueer,2021-03-22,3.369,-0.575,3.674,22
Whitburn,2021-03-22,3.848,-1.354,4.632,14
Winchburgh,2021-03-22,4.264,-0.122,4.337,12
Allanfearn,2021-03-29,3.120,-2.024,4.410,33
Allers,2021-03-29,3.950,0.119,3.872,12
Alloa,2021-03-29,4.358,-0.248,4.457,14
Alva,2021-03-29,3.727,,4.050,6
Ardoch,2021-03-29,3.556,,4.046,6
Armadale,2021-03-29,3.467,-2.129,4.334,14
Bathgate,2021-03-29,4.581,0.765,4.107,13
Blackburn,2021-03-29,4.207,-0.176,4.278,13
Blackridge,2021-03-29,4.386,0.698,3.855,14
Blackwood,2021-03-29,3.787,-0.119,3.888,11
Blairgowrie,2021-03-29,4.479,,4.463,5
Boness,2021-03-29,3.539,,3.986,6
Bonnybridge,2021-03-29,4.616,,4.452,6
Bothwellbank,2021-03-29,3.868,-0.610,4.109,12
Bowhouse,2021-03-29,2.833,-0.357,3.061,9
Carbarns,2021-03-29,4.584,0.017,4.574,31
Cumnock,2021-03-29,3.978,,4.412,6
Cupar,2021-03-29,3.084,-1.039,3.690,9
Dalbeattie,2021-03-29,2.733,-1.639,3.684,17
Daldowie,2021-03-29,4.189,-0.825,4.523,11
Dalmuir,2021-03-29,4.136,-0.530,4.429,33
Denny,2021-03-29,4.833,,4.620,6
Dunbar,2021-03-29,2.953,,3.819,6
Dunblane,2021-03-29,2.919,,,0
Dunfermline,2021-03-29,4.021,-0.323,4.263,33
Dunnswood,2021-03-29,3.510,-1.446,4.303,9
Duns,2021-03-29,2.847,,2.939,6
East Calder,2021-03-29,4.737,-0.075,4.758,14
Eyemouth,2021-03-29,3.409,,3.433,1
Fairlie,2021-03-29,2.788,,3.502,5
Falkirk,2021-03-29,4.432,0.056,4.394,26
Fauldhouse,2021-03-29,3.559,-1.287,4.180,14
Forfar,2021-03-29,4.417,,3.989,2
Fraserburgh,2021-03-29,4.240,-1.154,4.528,9
Galashiels,2021-03-29,2.687,-1.041,3.287,22
Girvan,2021-03-29,3.097,,3.048,4
Guardbridge,2021-03-29,3.902,2.023,3.006,7
Hamilton,2021-03-29,4.477,-0.017,4.486,28
Hatton,2021-03-29,4.310,0.257,4.179,30
Hawick,2021-03-29,3.327,0.298,3.098,29
Helensburgh,2021-03-29,4.432,-0.010,4.438,24
Inverclyde,2021-03-29,3.408,-0.955,3.885,15
Ironmill Bay,2021-03-29,4.786,1.830,4.050,8
Kincardine,2021-03-29,3.671,-1.311,4.488,9
Kirkcaldy,2021-03-29,4.741,0.921,4.473,9
Kirkwall,2021-03-29,2.853,0.235,2.673,16
Lanark,2021-03-29,4.038,-0.966,4.450,11
Largs,2021-03-29,3.258,,4.174,6
Lesmahagow,2021-03-29,3.371,-1.438,4.447,8
Levenmouth,2021-03-29,4.174,-0.071,4.219,33
Linlithgow,2021-03-29,4.075,0.895,3.606,14
Lossiemouth,2021-03-29,3.986,0.776,3.719,7
Mauldslie,2021-03-29,4.227,-0.022,4.236,12
Maybole,2021-03-29,3.014,-0.647,3.486,7
Meadowhead,2021-03-29,4.175,-0.312,4.351,27
Nairn,2021-03-29,2.902,-0.585,3.306,20
Newburgh,2021-03-29,3.751,0.788,3.374,8
Newport & Tayport,2021-03-29,2.294,-3.154,3.657,9
Nigg,2021-03-29,3.864,-0.439,4.120,34
Paisley,2021-03-29,3.563,,4.556,6
Penicuik,2021-03-29,3.664,,4.274,6
Persley - Northfield,2021-03-29,2.296,,4.301,2
Perth,2021-03-29,3.589,,4.064,6
Peterhead,2021-03-29,3.001,-0.181,3.116,9
Philipshill,2021-03-29,4.257,-0.068,4.299,32
Seafield,2021-03-29,4.103,-0.520,4.382,27
Selkirk,2021-03-29,3.247,,,0
Shieldhall,2021-03-29,4.156,-0.554,4.543,41
Shieldhall - Barrhead,2021-03-29,4.110,,,0
Shieldhall - Gorbals,2021-03-29,3.717,,,0
Shotts,2021-03-29,3.740,-2.630,4.600,11
Skellyton,2021-03-29,3.347,-1.224,4.268,8
Springfield,2021-03-29,4.381,1.379,3.676,9
St Andrews,2021-03-29,4.620,0.995,4.090,7
Stevenston,2021-03-29,4.016,-0.046,4.031,7
Stirling,2021-03-29,3.716,-0.562,4.058,23
Stonehouse,2021-03-29,3.548,-0.078,3.591,11
Strathaven,2021-03-29,4.025,0.042,4.003,12
Swinstie,2021-03-29,4.798,0.710,4.531,10
Tillicoultry,2021-03-29,4.458,,3.876,6
Troqueer,2021-03-29,3.699,0.273,3.554,23
Whitburn,2021-03-29,3.749,-0.997,4.347,15
Winchburgh,2021-03-29,3.195,-1.932,4.308,13
Allanfearn,2021-04-05,3.959,-0.212,4.096,34
Allers,2021-04-05,3.586,-0.496,3.903,13
Alloa,2021-04-05,4.530,0.291,4.418,15
Alva,2021-04-05,3.651,-0.561,3.923,7
Ardoch,2021-04-05,3.523,-1.128,3.893,7
Armadale,2021-04-05,4.063,-0.146,4.134,15
Blackburn,2021-04-05,4.255,0.014,4.250,14
Blackridge,2021-04-05,5.100,1.399,4.064,15
Blairgowrie,2021-04-05,4.222,,4.469,6
Boness,2021-04-05,3.997,0.312,3.810,7
Bonnybridge,2021-04-05,3.947,-2.009,4.516,7
Bothwellbank,2021-04-05,3.912,-0.254,4.014,13
Carbarns,2021-04-05,4.457,-0.211,4.578,32
Cumnock,2021-04-05,3.876,-0.944,4.241,7
Cupar,2021-04-05,3.037,-0.726,3.451,10
Daldowie,2021-04-05,3.994,-0.943,4.392,12
Dalmarnock,2021-04-05,3.944,-2.377,4.542,7
Dalmuir,2021-04-05,4.349,0.065,4.314,34
Dalmuir - Auchinairn (6298),2021-04-05,3.125,,,0
Dalmuir - Auchinairn (6330),2021-04-05,3.744,,,0
Dalmuir - Clydebank,2021-04-05,3.641,,,0
Denny,2021-04-05,5.263,2.213,4.704,7
Dunbar,2021-04-05,3.369,-0.237,3.527,7
Dunblane,2021-04-05,3.504,,2.919,1
Dunfermline,2021-04-05,4.259,0.124,4.168,34
Dunnswood,2021-04-05,4.022,-0.018,4.034,10
East Calder,2021-04-05,4.712,-0.138,4.750,15
Eyemouth,2021-04-05,2.577,,3.424,2
Falkirk,2021-04-05,3.995,-0.616,4.409,27
Forfar,2021-04-05,3.509,,4.157,3
Fraserburgh,2021-04-05,3.038,-5.433,4.415,10
Girvan,2021-04-05,3.685,,3.067,5
Guardbridge,2021-04-05,3.051,-0.366,3.224,8
Hamilton,2021-04-05,4.240,-0.437,4.483,29
Hatton,2021-04-05,4.266,0.071,4.231,31
Hawick,2021-04-05,2.943,-0.324,3.188,30
Helensburgh,2021-04-05,4.696,0.462,4.436,25
Inverclyde,2021-04-05,3.857,0.299,3.697,16
Inverclyde - Gourock,2021-04-05,4.545,,,0
Ironmill Bay,2021-04-05,3.415,-1.760,4.248,9
Kincardine,2021-04-05,4.076,-0.159,4.181,10
Kirkcaldy,2021-04-05,4.425,-0.520,4.578,10
Lanark,2021-04-05,4.349,0.140,4.288,12
Largs,2021-04-05,4.459,0.873,4.030,7
Levenmouth,2021-04-05,4.270,0.111,4.201,34
Linlithgow,2021-04-05,3.240,-1.083,3.791,15
Lossiemouth,2021-04-05,3.997,0.523,3.824,8
Mauldslie,2021-04-05,4.261,0.070,4.232,13
Meadowhead,2021-04-05,4.212,-0.127,4.282,28
Muirkirk,2021-04-05,4.146,1.173,3.659,7
Nairn,2021-04-05,3.820,0.980,3.147,21
Neilston,2021-04-05,2.878,,3.586,6
Newburgh,2021-04-05,2.179,-2.929,3.522,9
Nigg,2021-04-05,4.035,0.028,4.019,35
Paisley,2021-04-05,3.566,-6.416,4.486,7
Paisley - Blackhall,2021-04-05,4.402,,,0
Paisley - Brediland,2021-04-05,3.975,,,0
Persley - Northfield,2021-04-05,4.051,,3.512,3
Perth,2021-04-05,3.649,-0.988,3.947,7
Peterhead,2021-04-05,2.992,-0.129,3.071,10
Philipshill,2021-04-05,4.066,-0.357,4.283,33
Seafield,2021-04-05,3.901,-0.704,4.272,28
Selkirk,2021-04-05,3.370,,3.247,1
Shieldhall,2021-04-05,4.266,-0.184,4.391,42
Shieldhall - Barrhead,2021-04-05,3.522,,4.110,1
Shieldhall - Gorbals,2021-04-05,4.132,,3.717,1
Shotts,2021-04-05,3.998,-1.095,4.439,12
Skellyton,2021-04-05,3.783,-0.147,3.905,9
Springfield,2021-04-05,4.162,0.419,3.928,10
St Andrews,2021-04-05,4.505,0.385,4.298,8
Stevenston,2021-04-05,3.830,-0.645,4.025,8
Stirling,2021-04-05,4.215,0.490,3.924,24
Stonehouse,2021-04-05,3.380,-0.360,3.574,12
Strathaven,2021-04-05,4.015,0.007,4.012,13
Swinstie,2021-04-05,4.326,-0.839,4.636,11
Tillicoultry,2021-04-05,3.867,-0.363,4.105,7
Whitburn,2021-04-05,3.994,-0.190,4.112,16
Winchburgh,2021-04-05,2.699,-2.228,4.025,14
Allanfearn,2021-04-12,3.428,-0.971,4.042,35
Allers,2021-04-12,4.184,0.626,3.778,14
Alloa,2021-04-12,4.303,-0.429,4.462,16
Alva,2021-04-12,3.398,-0.851,3.816,8
Annan,2021-04-12,3.190,-0.537,3.516,20
Ardoch,2021-04-12,3.318,-1.279,3.748,8
Armadale,2021-04-12,3.240,-1.784,4.106,16
Banchory,2021-04-12,2.642,,,0
Banff,2021-04-12,2.667,,,0
Bathgate,2021-04-12,3.374,-1.530,4.293,14
Blackburn,2021-04-12,3.979,-0.736,4.252,15
Blackridge,2021-04-12,5.608,1.538,4.428,16
Boness,2021-04-12,3.671,-0.382,3.883,8
Bonnybridge,2021-04-12,3.525,-2.530,4.377,8
Bothwellbank,2021-04-12,3.916,-0.146,3.974,14
Carbarns,2021-04-12,4.698,0.301,4.530,33
Cumnock,2021-04-12,3.476,-1.511,4.097,8
Cupar,2021-04-12,3.598,0.552,3.289,11
Daldowie,2021-04-12,4.592,0.791,4.235,13
Dalmarnock,2021-04-12,4.364,-0.162,4.418,8
Dalmuir,2021-04-12,4.349,0.040,4.328,35
Dalmuir - Auchinairn (6298),2021-04-12,3.352,,3.125,1
Dalmuir - Auchinairn (6330),2021-04-12,3.891,,3.744,1
Dalmuir - Clydebank,2021-04-12,4.201,,3.641,1
Denny,2021-04-12,4.446,-1.116,4.828,8
Dunblane,2021-04-12,3.171,,3.149,2
Dunnswood,2021-04-12,4.301,0.441,4.029,11
East Calder,2021-04-12,4.402,-1.276,4.735,16
Ellon,2021-04-12,3.916,,,0
Eyemouth,2021-04-12,2.563,,3.091,3
Falkirk,2021-04-12,3.958,-0.439,4.246,28
Fauldhouse,2021-04-12,3.022,-1.839,3.943,15
Forfar,2021-04-12,4.058,,3.902,4
Forres,2021-04-12,3.064,,,0
Fraserburgh,2021-04-12,3.186,-4.357,4.290,11
Galashiels,2021-04-12,3.087,0.061,3.051,23
Girvan,2021-04-12,3.551,,3.230,6
Hamilton,2021-04-12,4.308,-0.146,4.387,30
Harthill,2021-04-12,3.136,-1.177,4.011,11
Hatton,2021-04-12,4.037,-0.430,4.244,32
Helensburgh,2021-04-12,4.429,-0.196,4.538,26
Inverclyde,2021-04-12,3.559,-0.383,3.760,17
Inverclyde - Gourock,2021-04-12,4.986,,4.545,1
Inverurie,2021-04-12,3.963,,,0
Ironmill Bay,2021-04-12,3.651,-0.750,4.015,10
Kelso,2021-04-12,2.498,,2.510,1
Kincardine,2021-04-12,4.225,0.132,4.140,11
Kirkcaldy,2021-04-12,4.182,-1.203,4.518,11
Kirkwall,2021-04-12,2.986,0.327,2.744,17
Largs,2021-04-12,4.347,0.316,4.199,8
Levenmouth,2021-04-12,3.757,-0.780,4.228,35
Linlithgow,2021-04-12,3.355,-0.426,3.574,16
Lockerbie,2021-04-12,2.579,-1.007,3.051,23
Lossiemouth,2021-04-12,4.049,0.489,3.892,9
Maybole,2021-04-12,2.621,-0.960,3.301,8
Meadowhead,2021-04-12,3.984,-0.502,4.254,29
Muirkirk,2021-04-12,4.967,2.760,3.851,8
Neilston,2021-04-12,3.245,-0.160,3.333,7
Nigg,2021-04-12,4.248,0.400,4.026,36
Paisley,2021-04-12,4.020,-2.759,4.415,8
Paisley - Blackhall,2021-04-12,4.013,,4.402,1
Paisley - Brediland,2021-04-12,2.714,,3.975,1
Penicuik,2021-04-12,4.263,0.347,4.034,7
Persley - Northfield,2021-04-12,4.040,,3.724,4
Perth,2021-04-12,3.835,0.017,3.830,8
Peterhead,2021-04-12,2.571,-0.784,3.040,11
Philipshill,2021-04-12,4.400,0.339,4.198,34
Seafield,2021-04-12,3.949,-0.339,4.126,29
Shieldhall,2021-04-12,4.207,-0.202,4.341,43
Shieldhall - Barrhead,2021-04-12,3.882,,3.879,2
Shieldhall - Gorbals,2021-04-12,4.350,,3.880,2
Shotts,2021-04-12,4.361,0.230,4.265,13
Springfield,2021-04-12,3.258,-1.361,4.020,11
St Andrews,2021-04-12,3.553,-1.582,4.380,9
Stevenston,2021-04-12,3.198,-2.496,3.948,9
Stirling,2021-04-12,3.654,-0.656,4.038,25
Stirling - University,2021-04-12,2.668,,,0
Swinstie,2021-04-12,4.318,-0.551,4.514,12
Tillicoultry,2021-04-12,3.440,-0.929,4.011,8
Whitburn,2021-04-12,3.045,-1.651,4.065,17
Allanfearn,2021-04-19,3.925,0.200,3.801,36
Blackburn,2021-04-19,4.552,1.117,4.145,16
Dalmuir - Auchinairn (6298),2021-04-19,2.719,,3.215,2
Dalmuir - Auchinairn (6330),2021-04-19,3.788,,3.802,2
Fraserburgh,2021-04-19,4.344,0.704,4.165,12
Hatton,2021-04-19,3.650,-1.087,4.163,33
Hatton - Fintry East,2021-04-19,3.016,,,0
Hatton - Fintry North,2021-04-19,4.200,,,0
Hatton - Fintry West,2021-04-19,3.930,,,0
Inverclyde,2021-04-19,3.546,-0.251,3.681,18
Inverclyde - Gourock,2021-04-19,5.571,,4.719,2
Lossiemouth,2021-04-19,4.011,0.182,3.954,10
Meadowhead,2021-04-19,3.903,-0.461,4.148,30
Nigg,2021-04-19,3.553,-1.028,4.113,37
Persley - Northfield,2021-04-19,5.571,,3.848,5
Seafield,2021-04-19,3.763,-0.568,4.056,30
Stevenston,2021-04-19,3.588,-0.529,3.801,10
Stevenston - Stevenston East,2021-04-19,3.467,,,0
Stevenston - Stevenston West,2021-04-19,3.707,,,0
Allanfearn,2021-04-26,3.465,-0.630,3.850,37
Allers,2021-04-26,4.089,0.242,3.938,15
Alloa,2021-04-26,4.009,-1.076,4.399,17
Alva,2021-04-26,3.394,-0.493,3.651,9
Annan,2021-04-26,3.189,-0.334,3.388,21
Ardoch,2021-04-26,2.982,-1.648,3.583,9
Armadale,2021-04-26,3.711,-0.279,3.867,17
Banchory,2021-04-26,3.140,,2.642,1
Banff,2021-04-26,3.253,,2.667,1
Bathgate,2021-04-26,3.608,-0.622,3.998,15
Blackburn,2021-04-26,4.435,0.359,4.305,17
Blackridge,2021-04-26,3.969,-1.005,4.806,17
Blackwood,2021-04-26,2.772,-1.297,3.848,12
Blairgowrie,2021-04-26,3.054,-2.001,4.372,7
Boness,2021-04-26,3.167,-1.191,3.800,9
Bonnybridge,2021-04-26,3.181,-2.312,4.211,9
Bothwellbank,2021-04-26,3.362,-1.486,3.951,15
Bowhouse,2021-04-26,2.529,-0.699,2.972,10
Carbarns,2021-04-26,4.084,-0.942,4.596,34
Coldstream,2021-04-26,2.561,-1.215,3.509,7
Cumnock,2021-04-26,2.955,-1.927,3.895,9
Daldowie,2021-04-26,3.868,-1.169,4.376,14
Dalmarnock,2021-04-26,4.159,-0.749,4.397,9
Dalmuir,2021-04-26,3.927,-0.794,4.336,36
Dalmuir - Auchinairn (6298),2021-04-26,2.833,,3.020,3
Dalmuir - Auchinairn (6330),2021-04-26,3.239,,3.797,3
Dalmuir - Clydebank,2021-04-26,3.395,,3.861,2
Denny,2021-04-26,4.154,-1.602,4.678,9
Dunblane,2021-04-26,3.735,,3.158,3
Dunfermline,2021-04-26,4.214,0.014,4.203,35
East Calder,2021-04-26,3.254,-5.069,4.607,17
Ellon,2021-04-26,3.171,,3.916,1
Eyemouth,2021-04-26,2.843,,2.883,4
Fairlie,2021-04-26,2.627,,3.248,6
Falkirk,2021-04-26,3.543,-0.920,4.133,29
Fauldhouse,2021-04-26,3.489,-0.364,3.696,16
Forfar,2021-04-26,2.946,,3.963,5
Fort William,2021-04-26,2.922,-1.422,3.135,22
Fraserburgh,2021-04-26,3.649,-2.392,4.236,13
Galashiels,2021-04-26,2.530,-0.915,3.065,24
Girvan,2021-04-26,3.483,0.349,3.356,7
Hamilton,2021-04-26,4.690,0.628,4.356,31
Harthill,2021-04-26,3.280,-0.509,3.667,12
Hatton - Fintry North,2021-04-26,3.296,,4.200,1
Helensburgh,2021-04-26,3.071,-2.608,4.495,27
Inverclyde,2021-04-26,3.884,0.473,3.628,19
Inverclyde - Gourock,2021-04-26,4.673,,5.054,3
Inverurie,2021-04-26,2.626,,3.963,1
Ironmill Bay,2021-04-26,3.469,-0.857,3.872,11
Kincardine,2021-04-26,2.658,-2.445,4.173,12
Kirkcaldy,2021-04-26,4.062,-1.172,4.386,12
Lanark,2021-04-26,2.814,-3.541,4.312,13
Largs,2021-04-26,3.263,-2.269,4.257,9
Lesmahagow,2021-04-26,3.766,-0.379,4.079,9
Levenmouth,2021-04-26,3.692,-0.591,4.043,36
Linlithgow,2021-04-26,2.638,-1.660,3.488,17
Loch Ryan,2021-04-26,2.863,,,0
Lossiemouth,2021-04-26,3.969,-0.023,3.976,11
Mauldslie,2021-04-26,3.905,-0.854,4.244,14
Meadowhead,2021-04-26,4.030,-0.041,4.051,31
Muirkirk,2021-04-26,2.501,-2.813,4.050,9
Neilston,2021-04-26,2.753,-1.048,3.299,8
Newburgh,2021-04-26,2.511,-1.318,3.297,10
Nigg,2021-04-26,3.472,-0.777,3.893,38
Paisley,2021-04-26,3.709,-2.620,4.345,9
Paisley - Blackhall,2021-04-26,3.704,,4.249,2
Peebles,2021-04-26,3.516,1.407,2.950,23
Penicuik,2021-04-26,3.080,-1.700,4.124,8
Persley - Northfield,2021-04-26,3.711,,4.278,6
Perth,2021-04-26,3.966,0.448,3.832,9
Peterhead,2021-04-26,3.008,0.248,2.855,12
Philipshill,2021-04-26,4.399,0.210,4.277,35
Seafield,2021-04-26,3.507,-0.839,3.941,31
Shieldhall,2021-04-26,4.292,0.005,4.289,44
Shotts,2021-04-26,4.106,-0.492,4.303,14
Skellyton,2021-04-26,4.761,1.101,3.857,10
Springfield,2021-04-26,2.573,-2.151,3.745,12
St Andrews,2021-04-26,3.697,-0.811,4.123,10
Stevenston,2021-04-26,3.433,-0.704,3.717,11
Stevenston - Stevenston West,2021-04-26,3.643,,3.707,1
Stirling,2021-04-26,3.143,-1.300,3.887,26
Stirling - University,2021-04-26,3.330,,2.668,1
Stonehouse,2021-04-26,4.656,2.202,3.498,13
Strathaven,2021-04-26,4.326,0.664,4.013,14
Swinstie,2021-04-26,4.076,-1.047,4.437,13
Tillicoultry,2021-04-26,2.663,-1.803,3.786,9
Whitburn,2021-04-26,3.218,-0.781,3.761,18
Allanfearn,2021-05-03,4.220,0.867,3.698,38
Allers,2021-05-03,3.872,-0.207,3.997,16
Alloa,2021-05-03,4.315,0.188,4.246,18
Alva,2021-05-03,2.943,-1.132,3.550,10
Annan,2021-05-03,3.474,0.283,3.309,22
Ardoch,2021-05-03,3.323,-0.185,3.403,10
Armadale,2021-05-03,4.161,0.626,3.806,18
Banchory,2021-05-03,3.244,,2.838,2
Banff,2021-05-03,3.003,,2.898,2
Bathgate,2021-05-03,3.667,-0.285,3.845,16
Blackburn,2021-05-03,3.886,-1.330,4.356,18
Blackridge,2021-05-03,4.096,-0.471,4.477,18
Boness,2021-05-03,2.556,-1.771,3.551,10
Bonnybridge,2021-05-03,3.536,-0.812,3.992,10
Bothwellbank,2021-05-03,3.675,-0.183,3.756,16
Carbarns,2021-05-03,3.807,-1.088,4.395,35
Cumnock,2021-05-03,2.926,-1.175,3.655,10
Daldowie,2021-05-03,4.015,-0.347,4.176,15
Dalmarnock,2021-05-03,3.870,-1.353,4.303,10
Dalmuir,2021-05-03,3.737,-0.857,4.175,37
Dalmuir - Auchinairn (6298),2021-05-03,2.589,,2.946,4
Dalmuir - Auchinairn (6330),2021-05-03,3.638,,3.577,4
Dalmuir - Clydebank,2021-05-03,2.474,,3.678,3
Denny,2021-05-03,3.694,-2.407,4.517,10
Dunblane,2021-05-03,3.493,,3.385,4
Dunfermline,2021-05-03,3.403,-1.152,4.207,36
Duns,2021-05-03,3.148,0.701,2.903,7
East Calder,2021-05-03,3.598,-3.288,4.476,18
Ellon,2021-05-03,2.885,,3.623,2
Eyemouth,2021-05-03,3.925,,2.867,5
Fairlie,2021-05-03,3.535,0.876,3.004,7
Falkirk,2021-05-03,3.399,-0.785,3.901,30
Fauldhouse,2021-05-03,3.677,0.107,3.615,17
Forfar,2021-05-03,2.863,,3.803,6
Fort William,2021-05-03,2.586,-3.332,3.061,23
Guardbridge,2021-05-03,2.359,-1.770,3.156,9
Hamilton,2021-05-03,4.323,-0.316,4.487,32
Harthill,2021-05-03,2.781,-0.973,3.514,13
Hatton,2021-05-03,3.754,-0.439,3.961,34
Hatton - Fintry East,2021-05-03,3.806,,3.016,1
Hatton - Fintry West,2021-05-03,4.063,,3.930,1
Helensburgh,2021-05-03,3.514,-1.209,4.226,28
Inverclyde,2021-05-03,3.270,-0.865,3.729,20
Inverclyde - Gourock,2021-05-03,4.057,,4.904,4
Inverurie,2021-05-03,3.923,,3.437,2
Ironmill Bay,2021-05-03,2.983,-1.562,3.713,12
Kelso,2021-05-03,2.743,,2.505,2
Kincardine,2021-05-03,3.075,-1.018,3.868,13
Kirkcaldy,2021-05-03,4.401,0.506,4.258,13
Largs,2021-05-03,3.046,-1.947,4.042,10
Lesmahagow,2021-05-03,2.681,-1.556,3.956,10
Levenmouth,2021-05-03,3.746,-0.271,3.905,37
Linlithgow,2021-05-03,2.725,-0.902,3.236,18
Lossiemouth,2021-05-03,4.308,1.145,3.974,12
Mauldslie,2021-05-03,3.682,-1.045,4.110,15
Meadowhead,2021-05-03,3.714,-0.636,4.043,32
Muirkirk,2021-05-03,2.990,-1.111,3.779,10
Neilston,2021-05-03,2.921,-0.298,3.084,9
New Cumnock,2021-05-03,3.554,-0.490,3.871,11
Newburgh,2021-05-03,2.360,-1.041,3.004,11
Nigg,2021-05-03,3.608,-0.220,3.727,39
Paisley,2021-05-03,3.989,-0.667,4.225,10
Paisley - Blackhall,2021-05-03,2.787,,4.035,3
Penicuik,2021-05-03,4.435,0.902,3.822,9
Persley - Northfield,2021-05-03,3.214,-0.849,4.055,7
Perth,2021-05-03,3.593,-1.028,3.885,10
Peterhead,2021-05-03,4.016,1.849,2.915,13
Philipshill,2021-05-03,4.056,-0.474,4.325,36
Sanquhar,2021-05-03,4.081,,,0
Seafield,2021-05-03,3.645,-0.237,3.770,32
Shieldhall,2021-05-03,4.085,-0.324,4.290,45
Shieldhall - Barrhead,2021-05-03,4.231,,3.880,3
Shieldhall - Gorbals,2021-05-03,3.859,,4.065,3
Shotts,2021-05-03,4.414,0.472,4.225,15
Skellyton,2021-05-03,3.443,-0.982,4.213,11
Springfield,2021-05-03,3.802,0.547,3.477,13
St Andrews,2021-05-03,3.139,-1.595,3.955,11
Stevenston,2021-05-03,3.559,-0.112,3.605,12
Stevenston - Stevenston East,2021-05-03,3.140,,3.467,1
Stevenston - Stevenston West,2021-05-03,4.763,,3.682,2
Stirling,2021-05-03,3.397,-0.361,3.606,27
Stonehouse,2021-05-03,3.059,-1.240,3.757,14
Strathaven,2021-05-03,4.341,0.444,4.136,15
Tillicoultry,2021-05-03,3.268,-0.288,3.480,10
Whitburn,2021-05-03,3.699,0.206,3.548,19
Winchburgh,2021-05-03,4.098,0.556,3.732,15
Allanfearn,2021-05-10,3.929,0.042,3.904,39
Allers,2021-05-10,4.025,0.129,3.948,17
